id,name,group,calories_kcal,protein_g,fat_g,carbs_g,fiber_g,solubleFiber_g,insolubleFiber_g,starch_g,sugar_g,saturatedFat_g,monounsaturatedFat_g,polyunsaturatedFat_g,transFat_g,cholesterol_mg,omega3_g,ala_mg,epa_mg,dha_mg,omega6_g,la_g,aa_g,histidine_g,isoleucine_g,leucine_g,lysine_g,methionine_g,cystine_g,phenylalanine_g,tyrosine_g,threonine_g,tryptophan_g,valine_g,arginine_g,alanine_g,asparticAcid_g,glutamicAcid_g,glycine_g,proline_g,serine_g,thiamin_mg,riboflavin_mg,niacin_mg,pantothenicAcid_mg,vitaminB6_mg,vitaminB12_ug,folate_ug,biotin_ug,choline_mg,vitaminA_ug,vitaminC_mg,vitaminD_ug,vitaminE_mg,vitaminK_ug,calcium_mg,copper_mg,iron_mg,magnesium_mg,manganese_mg,phosphorus_mg,potassium_mg,selenium_ug,sodium_mg,zinc_mg,Column 1
900000002,"Omega - D3 1 gel, Noridc Naturals Ultimate",Suppliments,10,0,2,0,0,0,0,0,0,0,0,0,0,0,640,0,325,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,
900000001,"Berry Medley, frozon, straw, blue, rasp, black",Fruits and Fruit Juices,42.9,0.7,0.35,10.7,3.6,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0,0,0,14.3,0,0.43,0,0,0,128.6,0,0,0,
900000001,"Berry Medley, frozon, straw, blue, rasp, black",Fruits and Fruit Juices,42.9,0.7,0.35,10.7,3.6,0,0,0,6.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.7,0,0,0,14.3,0,0.43,0,0,0,128.6,0,0,0,
900000001,"Pea Protein Powder, Solo Organic (unflavored)",Legumes and Legume Products,402.86,85.71,7.71,2.57,2.29,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1.97,3.77,6.94,5.91,0.86,1.11,4.37,3.17,3.09,0.77,4.03,7.46,3.6,9.69,14.23,3.34,3.51,4.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,668.57,0,28.29,0,0,0,374.29,0,208.57,0,
175258,"Peanuts, without salt",Legumes and Legume Products,599,28.03,52.5,15.26,9.4,0,0,0,4.18,8.686,25.976,15.292,0,0,0,0,0,0,15.217,15.103,0.038,0.655,0.978,1.812,0.945,0.291,0.375,1.427,1.006,0.61,0.231,1.146,3.247,1.092,3.272,5.422,1.621,1.173,1.285,0.085,0.089,13.825,1.202,0.461,0,120,0,55,0,0.8,0,6.91,0,61,0.533,1.52,176,1.845,397,726,3.3,6,3.28,
175258,"Peanuts, all types, oil-roasted, without salt",Legumes and Legume Products,599,28.03,52.5,15.26,9.4,0,0,0,4.18,8.686,25.976,15.292,0,0,0,0,0,0,15.217,15.103,0.038,0.655,0.978,1.812,0.945,0.291,0.375,1.427,1.006,0.61,0.231,1.146,3.247,1.092,3.272,5.422,1.621,1.173,1.285,0.085,0.089,13.825,1.202,0.461,0,120,0,55,0,0.8,0,6.91,0,61,0.533,1.52,176,1.845,397,726,3.3,6,3.28,
175257,"Peas, split, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,116,8.34,0.39,20.51,8.3,0,0,0,2.9,0.054,0.081,0.165,0,0,0,0,0,0,0.137,0.137,0,0.203,0.344,0.598,0.602,0.085,0.127,0.384,0.242,0.296,0.093,0.394,0.744,0.367,0.984,1.426,0.371,0.344,0.367,0.19,0.056,0.89,0.595,0.048,0,65,0,32.8,0,0.4,0,0.03,5,14,0.181,1.29,36,0.396,99,362,0.6,238,1,
175256,"Mungo beans, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,105,7.54,0.55,18.34,6.4,0,0,0,2.01,0.038,0.029,0.359,0,0,0,0,0,0,0.024,0.024,0,0.211,0.385,0.625,0.5,0.11,0.07,0.44,0.234,0.262,0.078,0.423,0.491,0.322,0.882,1.234,0.315,0.349,0.397,0.15,0.075,1.5,0.433,0.058,0,94,0,29.6,2,1,0,0.15,2.7,53,0.139,1.75,63,0.412,156,231,2.5,243,0.83,
175255,"Mung beans, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,105,7.02,0.38,19.15,7.6,0,0,0,2,0.116,0.054,0.128,0,0,0,0,0,0,0.119,0.119,0,0.205,0.297,0.544,0.49,0.084,0.062,0.425,0.21,0.23,0.076,0.364,0.492,0.309,0.812,1.256,0.281,0.323,0.346,0.164,0.061,0.577,0.41,0.067,0,159,0,29.4,1,1,0,0.15,2.7,27,0.156,1.4,48,0.298,99,266,2.5,238,0.84,
175254,"Lentils, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,114,9.02,0.38,19.54,7.9,0,0,0,1.8,0.053,0.064,0.175,0,0,0,0,0,0,0.137,0.137,0,0.254,0.39,0.654,0.63,0.077,0.118,0.445,0.241,0.323,0.081,0.448,0.697,0.377,0.998,1.399,0.367,0.377,0.416,0.169,0.073,1.06,0.638,0.178,0,181,0,32.7,0,1.5,0,0.11,1.7,19,0.251,3.33,36,0.494,180,369,2.8,238,1.27,
175253,"Hyacinth beans, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,117,8.14,0.58,20.7,0,0,0,0,0,0.099,0.026,0.245,0,0,0,0,0,0,0.245,0.245,0,0.233,0.39,0.691,0.556,0.065,0.095,0.41,0.291,0.315,0.068,0.422,0.598,0.364,0.962,1.323,0.351,0.396,0.448,0.27,0.037,0.411,0.316,0.037,0,4,0,0,0,0,0,0,0,40,0.341,4.58,82,0.482,120,337,2.8,243,2.85,
175252,"Cowpeas, common (blackeyes, crowder, southern), mature seeds, cooked, boiled, with salt",Legumes and Legume Products,116,7.73,0.53,20.76,6.5,0,0,0,3.3,0.138,0.044,0.225,0,0,0,0,0,0,0.143,0.143,0,0.24,0.314,0.592,0.523,0.11,0.085,0.451,0.25,0.294,0.095,0.368,0.535,0.352,0.933,1.463,0.319,0.347,0.387,0.202,0.055,0.495,0.411,0.1,0,208,0,32.2,1,0.4,0,0.28,1.7,24,0.268,2.51,53,0.475,156,278,2.5,240,1.29,
175251,"Cowpeas, catjang, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,117,8.13,0.71,20.32,3.6,0,0,0,0,0.185,0.059,0.303,0,0,0,0,0,0,0.192,0.192,0,0.252,0.33,0.623,0.55,0.116,0.09,0.475,0.263,0.309,0.1,0.387,0.563,0.371,0.982,1.539,0.335,0.365,0.407,0.162,0.046,0.714,0.386,0.092,0,142,0,0,1,0.4,0,0,0,26,0.271,3.05,96,0.473,142,375,2.5,255,1.87,
175250,"Chickpeas (garbanzo beans, bengal gram), mature seeds, canned, solids and liquids, low sodium",Legumes and Legume Products,88,4.92,1.95,13.49,4.4,0,0,0,2.59,0.204,0.444,0.881,0,0,0,0,0,0,0.849,0.849,0,0.136,0.212,0.352,0.331,0.065,0.067,0.265,0.123,0.184,0.048,0.208,0.466,0.212,0.582,0.866,0.206,0.204,0.249,0.032,0.015,0.13,0.299,0.473,0,25,0,23.1,1,0.1,0,0.19,2.2,35,0.153,1.23,27,0.818,80,144,2,132,0.69,
175249,"Beans, white, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,139,9.73,0.35,25.09,6.3,0,0,0,0.34,0.091,0.031,0.152,0,0,0,0,0,0,0.083,0.083,0,0.271,0.429,0.776,0.668,0.146,0.106,0.526,0.274,0.409,0.115,0.509,0.602,0.408,1.176,1.483,0.38,0.412,0.529,0.118,0.046,0.14,0.229,0.093,0,81,0,35.1,0,0,0,0.94,3.5,90,0.287,3.7,63,0.636,113,561,1.3,242,1.38,
175248,"Beans, yellow, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,144,9.16,1.08,25.28,10.4,0,0,0,0.34,0.279,0.094,0.466,0,0,0,0,0,0,0.253,0.253,0,0.255,0.405,0.732,0.629,0.138,0.1,0.496,0.258,0.386,0.108,0.479,0.567,0.384,1.108,1.397,0.358,0.388,0.498,0.187,0.103,0.708,0.229,0.129,0,81,0,35.2,0,1.8,0,0.94,3.5,62,0.186,2.48,74,0.455,183,325,1.3,241,1.06,
175247,"Beans, pinto, mature seeds, canned, solids and liquids, low sodium",Legumes and Legume Products,82,4.6,0.56,15.18,4.6,0,0,0,1.02,0.116,0.114,0.203,0,0,0,0,0,0,0.086,0.086,0,0.12,0.189,0.338,0.294,0.056,0.04,0.237,0.093,0.176,0.051,0.216,0.238,0.189,0.492,0.656,0.172,0.232,0.254,0.052,0.016,0.268,0.136,0.135,0,24,0,20.8,0,0.7,0,0.55,2.1,47,0.162,1.47,33,0.318,92,276,3.7,146,0.56,
175246,"Beans, small white, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,142,8.97,0.64,25.81,10.4,0,0,0,0,0.166,0.056,0.276,0,0,0,0,0,0,0.15,0.15,0,0.25,0.396,0.716,0.616,0.135,0.098,0.485,0.253,0.377,0.106,0.469,0.555,0.376,1.085,1.368,0.35,0.38,0.488,0.236,0.059,0.272,0.251,0.127,0,137,0,0,0,0,0,0,0,73,0.149,2.84,68,0.51,169,463,1.3,238,1.09,
175245,"Beans, kidney, red, mature seeds, canned, solids and liquid, low sodium",Legumes and Legume Products,81,5.22,0.36,14.83,5.3,0,0,8.9,1.85,0.125,0.147,0.174,0,0,0.04,40,0,0,0.083,0.083,0,0.148,0.254,0.456,0.376,0.07,0.05,0.317,0.127,0.197,0.064,0.31,0.295,0.244,0.673,0.863,0.218,0.307,0.337,0.106,0.067,0.494,0.13,0.08,0,26,0,30.5,0,0.8,0,0.02,4.1,29,0.147,1.25,30,0.291,106,260,1.1,117,0.62,
175244,"Beans, kidney, royal red, mature seeds, cooked, boiled with salt",Legumes and Legume Products,123,9.49,0.17,21.85,9.3,0,0,0,0,0.024,0.013,0.093,0,0,0,0,0,0,0.036,0.036,0,0.264,0.419,0.757,0.651,0.143,0.103,0.513,0.267,0.399,0.112,0.496,0.587,0.398,1.148,1.447,0.37,0.402,0.516,0.095,0.067,0.552,0.219,0.104,0,74,0,0,0,1.2,0,0,0,44,0.262,2.77,42,0.255,142,378,1.2,241,0.9,
175243,"Beans, kidney, red, mature seeds, canned, drained solids, rinsed in tap water",Legumes and Legume Products,121,8.12,0.93,20.8,6,0,0,0,0,0.328,0.052,0.35,0,0,0,0,0,0,0.217,0.217,0,0.223,0.384,0.689,0.568,0.106,0.076,0.479,0.192,0.298,0.097,0.468,0.445,0.369,1.016,1.305,0.329,0.464,0.509,0.06,0.015,0.417,0,0.113,0,23,0,43.1,0,0.2,0,0.03,5.7,58,0.283,1.5,29,0.382,118,250,0,208,0.74,
175242,"Beans, kidney, red, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,127,8.67,0.5,22.8,7.4,0,0,0,0.32,0.072,0.039,0.275,0,0,0,0,0,0,0.107,0.107,0,0.242,0.383,0.693,0.595,0.13,0.094,0.469,0.244,0.365,0.103,0.454,0.537,0.364,1.049,1.323,0.339,0.368,0.472,0.16,0.058,0.578,0.22,0.12,0,130,0,30.5,0,1.2,0,0.03,8.4,28,0.242,2.94,45,0.477,142,403,1.2,238,1.07,
175241,"Beans, french, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,129,7.05,0.76,24.02,9.4,0,0,0,0,0.083,0.052,0.453,0,0,0,0,0,0,0.166,0.166,0,0.196,0.311,0.563,0.484,0.106,0.077,0.381,0.199,0.297,0.083,0.369,0.437,0.296,0.853,1.075,0.275,0.299,0.384,0.13,0.062,0.546,0.222,0.105,0,75,0,0,0,1.2,0,0,0,63,0.115,1.08,56,0.382,102,370,1.2,242,0.64,
175240,"Beans, cranberry (roman), mature seeds, cooked, boiled, with salt",Legumes and Legume Products,136,9.34,0.46,24.46,8.6,0,0,0,0,0.119,0.04,0.199,0,0,0,0,0,0,0.108,0.108,0,0.26,0.412,0.746,0.641,0.14,0.102,0.505,0.263,0.393,0.111,0.489,0.578,0.391,1.129,1.424,0.365,0.396,0.508,0.21,0.069,0.515,0.24,0.081,0,207,0,0,0,0,0,0,0,50,0.231,2.09,50,0.37,135,387,1.3,237,1.14,
175239,"Beans, black turtle, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,130,8.18,0.35,24.35,8.3,0,0,0,0.32,0.089,0.03,0.149,0,0,0,0,0,0,0.081,0.081,0,0.228,0.361,0.653,0.562,0.123,0.089,0.442,0.23,0.344,0.097,0.428,0.507,0.343,0.99,1.247,0.319,0.347,0.445,0.225,0.056,0.527,0.26,0.077,0,86,0,32.6,0,0,0,0.87,3.3,55,0.269,2.85,49,0.327,152,433,1.2,239,0.76,
175238,"Beans, black, mature seeds, canned, low sodium",Legumes and Legume Products,91,6.03,0.29,16.55,6.9,0,0,0,0.23,0.075,0.025,0.125,0,0,0,0,0,0,0.068,0.068,0,0.166,0.285,0.512,0.422,0.079,0.056,0.356,0.143,0.222,0.072,0.348,0.331,0.274,0.755,0.969,0.244,0.345,0.378,0.14,0.12,0.62,0.184,0.055,0,61,0,23.2,0,2.7,0,0.62,2.3,35,0.192,1.9,35,0.233,108,308,1.3,138,0.54,
175237,"Beans, black, mature seeds, cooked, boiled, with salt",Legumes and Legume Products,132,8.86,0.54,23.71,8.7,0,0,0,0.32,0.139,0.047,0.231,0,0,0,0,0,0,0.126,0.126,0,0.247,0.391,0.708,0.608,0.133,0.096,0.479,0.25,0.373,0.105,0.464,0.549,0.372,1.072,1.351,0.346,0.376,0.482,0.244,0.059,0.505,0.242,0.069,0,149,0,32.6,0,0,0,0.87,3.3,27,0.209,2.1,70,0.444,140,355,1.2,237,1.12,
175236,"Vitasoy USA Azumaya, Firm Tofu",Legumes and Legume Products,80,9.08,4.2,1.52,0.6,0,0,0,0.4,0.5,1.2,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180,0,1.3,0,0,0,0,0,23,0,
175235,"Vitasoy USA Azumaya, Extra Firm Tofu",Legumes and Legume Products,88,10.07,4.6,1.53,0.9,0,0,0,0.5,0.6,1.4,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,1.7,0,0,0,0,0,26,0,
175234,"Vitasoy USA Organic Nasoya Sprouted, Tofu Plus Super Firm",Legumes and Legume Products,115,13.24,5.9,2.16,1.2,0,0,0,1.1,1.1,1.9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,0,14.7,239,0,1.7,0,0,0,0,0,28,0,
175233,"Vitasoy USA Organic Nasoya, Tofu Plus Firm",Legumes and Legume Products,74,9.19,3.4,1.71,0.8,0,0,0,0.3,0.3,1.1,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0.5,1.43,0,0,0,0,0,2.5,0,0,237,0,1.3,0,0,121,0,0,4,0,
175232,SILK French Vanilla Creamer,Legumes and Legume Products,133,0,6.67,20,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,
175231,SILK Original Creamer,Legumes and Legume Products,100,0,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,
175230,SILK Banana-Strawberry soy yogurt,Legumes and Legume Products,88,2.35,1.18,17.06,0.6,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,0,0,0,176,0,0.64,0,0,0,0,0,15,0,
175229,SILK Key Lime soy yogurt,Legumes and Legume Products,88,2.35,1.18,17.65,0.6,0,0,0,12.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,0,0,0,176,0,0.64,0,0,0,0,0,15,0,
175228,SILK Strawberry soy yogurt,Legumes and Legume Products,94,2.35,1.18,18.24,0.6,0,0,0,12.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,0,0,0,176,0,0.64,0,0,0,0,0,15,0,
175227,SILK Plain soy yogurt,Legumes and Legume Products,66,2.64,1.76,9.69,0.4,0,0,0,5.29,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,1.3,0,0,132,0,0,0,0,0,0,0,13,0,
175226,SILK Vanilla soy yogurt (single serving size),Legumes and Legume Products,88,2.94,1.76,14.71,0.6,0,0,0,10.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.6,0,0,0,176,0,0.85,0,0,0,0,0,12,0,
175225,SILK Vanilla soy yogurt (family size),Legumes and Legume Products,79,2.64,1.76,13.66,0.4,0,0,0,10.57,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,132,0,0.48,0,0,0,0,0,13,0,
175224,"SILK Coffee, soymilk",Legumes and Legume Products,62,2.06,1.44,10.29,0,0,0,0,9.47,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,0.37,7,0,0,0,0,0,0,0,123,0,0,0,0,0,132,0,41,0.37,
175223,"SILK Unsweetened, soymilk",Legumes and Legume Products,33,2.88,1.65,1.65,0.4,0,0,0,0.41,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,1.23,10,0,0,0,0,0,0,0,123,0,0.44,16,0,0,123,2.3,35,0.25,
175222,"SILK Plus Fiber, soymilk",Legumes and Legume Products,41,2.47,1.44,5.76,2.1,0,0,0,2.88,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,1.23,10,0,0,0,0,1.2,0,0,123,0,0.44,16,0,0,123,2.3,39,0.25,
175221,"SILK Plus for Bone Health, soymilk",Legumes and Legume Products,41,2.47,1.44,4.53,0.8,0,0,0,2.88,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,1.23,10,0,0,0,0,1.2,0,0,165,0,0.44,16,0,0,123,2.3,39,0.25,
175220,"SILK Plus Omega-3 DHA, soymilk",Legumes and Legume Products,45,2.88,2.06,3.29,0.4,0,0,0,2.47,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,1.23,10,0,0,0,0,1.2,0,0,144,0,0.44,16,0,0,144,2.3,49,0.25,
175219,"SILK Vanilla, soymilk",Legumes and Legume Products,41,2.47,1.44,4.12,0.4,0,0,0,2.88,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,1.23,10,0,0,0,0,1.2,0,0,123,0,0.44,16,0,0,123,2.3,39,0.25,
175218,"SILK Plain, soymilk",Legumes and Legume Products,41,2.88,1.65,3.29,0.4,0,0,0,2.47,0.206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21,0,0,0,1.23,10,0,0,0,0,1.2,0,0,123,0,0.44,16,0,0,123,2.3,49,0.25,
175217,"Soymilk, chocolate, nonfat, with added calcium, vitamins A and D",Legumes and Legume Products,44,2.47,0.04,8.51,0.2,0,0,0,3.65,0,0,0.036,0,0,0,0,0,0,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.037,0.174,0.512,0,0.037,0.23,7,0,28.4,61,0,1,0.13,3.6,116,0.199,0.35,10,0,87,105,1.7,57,0.1,
175216,"Soymilk (all flavors), nonfat, with added calcium, vitamins A and D",Legumes and Legume Products,28,2.47,0.04,4.14,0.2,0,0,0,3.65,0,0,0.036,0,0,0,0,0,0,0.032,0.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.022,0.174,0.323,0,0.024,0.23,7,0,17.9,61,0,1,0.08,2.3,116,0.125,0.35,10,0,87,105,1.8,57,0.1,
175215,"Soymilk (all flavors), unsweetened, with added calcium, vitamins A and D",Legumes and Legume Products,33,2.86,1.61,1.74,0.5,0,0,0,0.41,0.206,0.392,1.009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.154,0.207,0.165,0.082,0.049,1.11,0,0,0,0,0,1.2,0,0,124,0.082,0.46,16,0,32,120,0,37,0,
175214,"Vitasoy USA, Vitasoy Light Vanilla Soymilk",Legumes and Legume Products,30,1.6,0.82,4.1,0.1,0,0,0,2.9,0.18,0.2,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.14,0,0,0,0.37,10,0,0,0,0,0.8,0,0,123,0,0.3,10,0,0,82,0,49,0.37,
175213,"Vitasoy USA, Vitasoy Organic Classic Original Soymilk",Legumes and Legume Products,47,3.2,1.8,4.5,0.4,0,0,0,2,0.21,0.5,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,17,0,0.44,0,0,0,156,0,66,0,
175212,"Vitasoy USA, Vitasoy Organic Creamy Original Soymilk",Legumes and Legume Products,44,2.9,1.6,4.5,0.4,0,0,0,2,0.2,0.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.15,0,0,0,0.39,18,0,0,0,0,0.9,0,0,127,0,0.4,16,0,0,131,0,66,0.37,
